"Datetime (date and time of sample collection)","Days since 741001","Sample Time Window, days","Flow, CFS","SS, mg/L (suspended solids)","TP, mg/L as P","SRP, mg/L, as P","NO23, mg/L as N","TKN, mg/L (Total Kjeldahl nitrogen)","Chloride, mg/L","Month",,,,
10/02/1974 09:10,1.38194,1.00,41.0,16.5,0.270,0.226,0.16,-9.000,-9.0,10,,,,
10/07/1974 09:40,6.40278,1.00,51.0,37.3,0.390,0.025,0.00,-9.000,-9.0,10,,,,
10/09/1974 09:30,8.39583,1.00,41.0,31.5,0.260,0.073,0.01,-9.000,-9.0,10,,,,
12/07/1974 11:00,67.45833,1.00,340.0,12.0,0.217,0.005,3.25,-9.000,-9.0,12,,,,
12/07/1974 17:00,67.70833,0.25,375.0,10.2,0.147,0.090,4.35,-9.000,-9.0,12,,,,
12/07/1974 23:00,67.95833,0.25,397.0,58.0,0.157,0.115,4.20,-9.000,-9.0,12,,,,
12/08/1974 05:00,68.20833,0.25,412.0,10.9,0.155,0.125,4.35,-9.000,-9.0,12,,,,
12/08/1974 11:00,68.45833,0.25,435.0,58.9,0.167,0.120,4.15,-9.000,-9.0,12,,,,
12/08/1974 17:00,68.70833,0.25,451.0,6.8,0.173,0.125,4.05,-9.000,-9.0,12,,,,
12/08/1974 23:00,68.95833,0.25,491.0,7.8,0.163,0.130,4.20,-9.000,-9.0,12,,,,
12/09/1974 05:00,69.20833,0.25,577.0,14.1,0.210,0.150,4.25,-9.000,-9.0,12,,,,
12/09/1974 11:00,69.45833,0.25,856.0,51.1,0.220,0.125,4.60,-9.000,-9.0,12,,,,
12/09/1974 17:00,69.70833,0.25,1190.0,102.0,0.300,0.090,5.55,-9.000,-9.0,12,,,,
12/09/1974 23:00,69.95833,0.25,1800.0,128.0,0.373,0.095,5.80,-9.000,-9.0,12,,,,
12/10/1974 05:00,70.20833,0.25,2290.0,-9.000,0.340,-9.000,-9.000,-9.000,-9.0,12,,,,
12/10/1974 11:00,70.45833,0.25,2640.0,105.0,0.290,0.075,6.95,-9.000,-9.0,12,,,,
12/10/1974 17:00,70.70833,0.25,2760.0,-9.000,0.230,-9.000,-9.000,-9.000,-9.0,12,,,,
12/10/1974 23:00,70.95833,0.25,2700.0,-9.000,0.240,-9.000,-9.000,-9.000,-9.0,12,,,,
12/11/1974 05:00,71.20833,0.25,2450.0,-9.000,0.170,-9.000,-9.000,-9.000,-9.0,12,,,,
12/11/1974 11:00,71.45833,0.25,2180.0,-9.000,0.240,-9.000,-9.000,-9.000,-9.0,12,,,,
12/11/1974 17:00,71.70833,0.25,1920.0,-9.000,0.180,-9.000,-9.000,-9.000,-9.0,12,,,,
12/11/1974 23:00,71.95833,0.25,1640.0,-9.000,0.230,-9.000,-9.000,-9.000,-9.0,12,,,,
12/12/1974 05:00,72.20833,0.25,1480.0,33.7,0.183,0.085,8.00,-9.000,-9.0,12,,,,
12/12/1974 11:00,72.45833,0.25,1340.0,98.5,0.187,0.080,7.10,-9.000,-9.0,12,,,,
12/12/1974 17:00,72.70833,0.25,1240.0,58.8,0.190,0.080,7.35,-9.000,-9.0,12,,,,
12/12/1974 23:00,72.95833,0.25,1320.0,68.5,0.225,0.087,7.05,-9.000,-9.0,12,,,,
12/13/1974 05:00,73.20833,0.25,1550.0,58.6,0.218,0.090,6.90,-9.000,-9.0,12,,,,
12/13/1974 11:00,73.45833,0.25,1080.0,68.0,0.200,0.085,7.05,-9.000,-9.0,12,,,,
12/13/1974 17:00,73.70833,0.25,2190.0,65.2,0.205,0.080,7.50,-9.000,-9.0,12,,,,
12/13/1974 23:00,73.95833,0.25,2350.0,63.4,0.207,0.075,6.95,-9.000,-9.0,12,,,,
12/14/1974 05:00,74.20833,0.25,2530.0,66.5,0.193,-9.000,7.05,-9.000,-9.0,12,,,,
12/14/1974 11:00,74.45833,0.25,2760.0,91.5,-9.000,0.095,7.40,-9.000,-9.0,12,,,,
12/14/1974 17:00,74.70833,0.25,2940.0,100.0,-9.000,0.080,7.30,-9.000,-9.0,12,,,,
12/14/1974 23:00,74.95833,0.25,3080.0,117.0,-9.000,0.075,7.90,-9.000,-9.0,12,,,,
12/15/1974 05:00,75.20833,0.25,3170.0,105.0,-9.000,0.080,8.20,-9.000,-9.0,12,,,,
12/15/1974 11:00,75.45833,0.25,3380.0,110.0,-9.000,0.075,8.30,-9.000,-9.0,12,,,,
12/15/1974 17:00,75.70833,0.25,3670.0,120.0,-9.000,0.070,8.70,-9.000,-9.0,12,,,,
12/15/1974 23:00,75.95833,0.25,3980.0,139.0,-9.000,0.070,8.80,-9.000,-9.0,12,,,,
12/16/1974 05:00,76.20833,0.25,4520.0,191.0,-9.000,0.070,9.10,-9.000,-9.0,12,,,,
12/16/1974 11:00,76.45833,0.25,5420.0,233.0,-9.000,0.060,9.40,-9.000,-9.0,12,,,,
12/16/1974 17:00,76.70833,0.25,6230.0,338.0,-9.000,0.060,9.20,-9.000,-9.0,12,,,,
12/16/1974 23:00,76.95833,0.25,6720.0,360.0,-9.000,0.055,9.10,-9.000,-9.0,12,,,,
12/17/1974 05:00,77.20833,0.25,6830.0,230.0,-9.000,0.050,9.00,-9.000,-9.0,12,,,,
12/17/1974 11:00,77.45833,0.25,6590.0,282.0,-9.000,0.060,8.80,-9.000,-9.0,12,,,,
12/17/1974 17:00,77.70833,0.25,6190.0,242.0,-9.000,0.060,8.90,-9.000,-9.0,12,,,,
12/17/1974 23:00,77.95833,0.25,5850.0,303.0,-9.000,0.060,9.00,-9.000,-9.0,12,,,,
12/18/1974 05:00,78.20833,0.25,5550.0,174.0,-9.000,0.065,8.80,-9.000,-9.0,12,,,,
12/18/1974 11:00,78.45833,0.25,5200.0,126.0,-9.000,0.060,8.60,-9.000,-9.0,12,,,,
12/18/1974 17:00,78.70833,0.25,4770.0,136.0,-9.000,0.070,8.70,-9.000,-9.0,12,,,,
12/18/1974 23:00,78.95833,0.38,4320.0,118.0,-9.000,0.070,8.70,-9.000,-9.0,12,,,,
12/19/1974 11:00,79.45833,0.38,3450.0,70.6,-9.000,0.060,8.50,-9.000,-9.0,12,,,,
12/19/1974 17:00,79.70833,0.25,3080.0,90.3,0.228,0.080,7.60,-9.000,-9.0,12,,,,
12/19/1974 23:00,79.95833,0.25,2720.0,57.2,0.190,0.070,9.10,-9.000,-9.0,12,,,,
12/20/1974 05:00,80.20833,0.25,2410.0,74.7,0.160,0.080,8.80,-9.000,-9.0,12,,,,
12/20/1974 11:00,80.45833,0.38,2270.0,49.3,0.118,0.070,9.40,-9.000,-9.0,12,,,,
12/20/1974 23:00,80.95833,0.38,1590.0,47.9,0.122,0.075,9.00,-9.000,-9.0,12,,,,
12/21/1974 05:00,81.20833,0.25,1420.0,32.3,0.125,0.085,8.80,-9.000,-9.0,12,,,,
12/21/1974 11:00,81.45833,0.25,1290.0,-9.000,0.140,0.080,4.40,-9.000,-9.0,12,,,,
12/21/1974 17:00,81.70833,0.25,1170.0,28.9,0.129,0.075,7.80,-9.000,-9.0,12,,,,
12/21/1974 23:00,81.95833,0.25,1100.0,-9.000,0.110,0.080,8.40,-9.000,-9.0,12,,,,
12/22/1974 05:00,82.20833,0.25,1010.0,17.5,0.087,0.080,10.00,-9.000,-9.0,12,,,,
12/22/1974 11:00,82.45833,0.25,936.0,28.8,0.084,0.075,6.90,-9.000,-9.0,12,,,,
12/22/1974 17:00,82.70833,0.25,869.0,36.2,0.076,0.070,6.80,-9.000,-9.0,12,,,,
12/22/1974 23:00,82.95833,0.25,817.0,28.6,0.080,0.085,6.50,-9.000,-9.0,12,,,,
12/23/1974 05:00,83.20833,0.25,707.0,25.5,0.100,0.095,6.90,-9.000,-9.0,12,,,,
12/23/1974 11:00,83.45833,0.25,579.0,22.8,0.084,0.090,7.10,-9.000,-9.0,12,,,,
12/23/1974 17:00,83.70833,0.25,515.0,30.1,0.110,0.100,7.00,-9.000,-9.0,12,,,,
